nD,tD,nB,tB,nA,tA
486,0.485,430,0.429,582,0.5805
1246,1.245,1189,1.1875,1336,1.335
1995,1.994,1935,1.934,2076,2.075
2718,2.717,2656,2.655,2789,2.7875
3380,3.379,3329,3.328,3463,3.462
4016,4.0145,3954,3.953,4106,4.1045
4678,4.677,4622,4.6205,4800,4.7985
5728,5.727,5667,5.6655,5867,5.866
6675,6.6735,6617,6.616,6790,6.789
7523,7.522,7468,7.4665,7616,7.6145
8285,8.2835,8228,8.227,8375,8.374
9021,9.02,8964,8.963,9132,9.131
9758,9.7565,9700,9.6985,9886,9.8845
10487,10.486,10427,10.4255,10616,10.615
11228,11.2265,11167,11.166,11346,11.3445
11980,11.979,11921,11.92,12084,12.083
12709,12.7075,12647,12.6455,12811,12.8095
13457,13.4555,13398,13.397,13586,13.585
14232,14.231,14174,14.1725,14345,14.3435
14965,14.9635,14901,14.9,15074,15.0725
15665,15.664,15601,15.6,15759,15.758
16341,16.34,16290,16.2885,16438,16.4365
17063,17.062,17009,17.008,17150,17.1485
17797,17.7955,17738,17.737,17890,17.889
18541,18.5395,18480,18.479,18620,18.6185
19282,19.2805,19222,19.221,19363,19.362
20037,20.0355,19980,19.979,20123,20.122
20801,20.7995,20745,20.744,20890,20.889
31178,31.1765,31154,31.1525,31204,31.2025
31625,31.6235,31564,31.5625,31785,31.7835
32405,32.4035,32335,32.334,32507,32.506
33171,33.17,33104,33.103,33294,33.2925
33945,33.944,33887,33.886,34051,34.0495
34704,34.703,34643,34.642,34800,34.799
35467,35.4655,35410,35.4085,35560,35.5585
36241,36.24,36185,36.184,36329,36.328
37010,37.009,36953,36.952,37099,37.098
37771,37.7695,37712,37.711,37863,37.8615
38540,38.539,38488,38.487,38633,38.632
39302,39.3005,39245,39.2435,39383,39.382
40021,40.02,39962,39.9605,40097,40.096
40735,40.7335,40672,40.671,40824,40.823
41431,41.4295,41378,41.377,41539,41.538
42148,42.147,42096,42.0945,42247,42.2455
42869,42.868,42813,42.812,42963,42.962
43593,43.5915,43535,43.5335,43676,43.675
44346,44.345,44288,44.287,44434,44.4325
45105,45.104,45056,45.0545,45200,45.199
45843,45.842,45791,45.79,45934,45.933
46587,46.5855,46533,46.532,46667,46.666
47323,47.322,47265,47.264,47408,47.407
48072,48.0705,48016,48.015,48159,48.158
48830,48.8285,48776,48.775,48913,48.9115
49595,49.5935,49541,49.5395,49685,49.684
50376,50.3745,50319,50.3175,50464,50.4625
51149,51.148,51095,51.0935,51237,51.236
51909,51.908,51854,51.8525,51992,51.9905
52667,52.6655,52608,52.6065,52746,52.745
53423,53.4215,53369,53.368,53524,53.523
54190,54.189,54135,54.134,54281,54.28
54954,54.953,54896,54.8945,55046,55.0445
55757,55.7555,55700,55.699,55843,55.8415
56550,56.549,56493,56.492,56637,56.6355
57362,57.361,57304,57.303,57448,57.4465
58143,58.142,58088,58.087,58231,58.23
58932,58.931,58877,58.876,59024,59.0225
59724,59.7225,59672,59.6705,59815,59.8135
60486,60.4845,60430,60.4285,60575,60.574
61290,61.2885,61240,61.239,61382,61.381
62085,62.0835,62032,62.031,62180,62.1785
62920,62.9185,62860,62.859,63004,63.003
63728,63.727,63672,63.6705,63813,63.8115
64530,64.529,64475,64.4735,64620,64.619
65308,65.307,65255,65.254,65394,65.3925
66052,66.051,65994,65.993,66146,66.145
66818,66.817,66764,66.7625,66909,66.9075
67579,67.578,67525,67.5235,67664,67.6625
